combination,n_substances
Harmonised list,2260
Pesticides,397
Pesticides & Harmonised list,324
Pesticides & Harmonised list & CLH process,222
Harmonised list & CLH process,199
CLH process,133
PBT assessment,75
Pesticides & CLH process,69
Harmonised list & Candidate list & SVHC ident.,62
Candidate list & SVHC ident.,28
Harmonised list & Candidate list & SVHC ident. & Authorisation list,25
ED assessment,23
Harmonised list & CLH process & Candidate list & SVHC ident.,19
Harmonised list & CLH process & ED assessment,18
Candidate list & SVHC ident. & PBT assessment,15
Harmonised list & PBT assessment,15
Pesticides & Harmonised list & CLH process & ED assessment,15
ED assessment & PBT assessment,11
Harmonised list & Restriction list,11
Pesticides & Harmonised list & POPs list,10
CLH process & PBT assessment,9
Harmonised list & ED assessment,9
CLH process & ED assessment,8
Candidate list & SVHC ident. & Authorisation list,7
Harmonised list & CLH process & Candidate list & SVHC ident. & Authorisation list,6
Restriction list,6
Candidate list & SVHC ident. & ED assessment,5
Harmonised list & CLH process & Candidate list & SVHC ident. & ED assessment,5
Harmonised list & CLH process & Candidate list & SVHC ident. & PBT assessment,5
Harmonised list & CLH process & Restriction list,5
Pesticides & Harmonised list & ED assessment,5
SVHC ident.,5
Harmonised list & CLH process & PBT assessment,4
CLH process & ED assessment & PBT assessment,3
Harmonised list & Candidate list,3
Harmonised list & ED assessment & PBT assessment,3
POPs list,3
Pesticides & CLH process & ED assessment,3
Pesticides & Harmonised list & CLH process & Candidate list & SVHC ident.,3
SVHC ident. & PBT assessment,3
CLH process & SVHC ident.,2
Candidate list & SVHC ident. & PBT assessment & Authorisation list,2
Harmonised list & CLH process & Candidate list & SVHC ident. & ED assessment & PBT assessment,2
Harmonised list & CLH process & Candidate list & SVHC ident. & PBT assessment & Authorisation list,2
Harmonised list & CLH process & Candidate list & SVHC ident. & Restriction list,2
Harmonised list & CLH process & ED assessment & PBT assessment,2
Harmonised list & Candidate list & SVHC ident. & PBT assessment,2
Harmonised list & Candidate list & SVHC ident. & Restriction list,2
Harmonised list & POPs list,2
Harmonised list & SVHC ident. & Restriction list,2
Pesticides & Harmonised list & CLH process & PBT assessment,2
Pesticides & Harmonised list & Candidate list & SVHC ident.,2
Pesticides & Harmonised list & PBT assessment,2
CLH process & Candidate list & SVHC ident.,1
Candidate list,1
Candidate list & Authorisation list,1
Candidate list & SVHC ident. & PBT assessment & Authorisation list & POPs list,1
Candidate list & SVHC ident. & POPs list,1
Harmonised list & CLH process & Candidate list & SVHC ident. & ED assessment & Restriction list,1
Harmonised list & CLH process & ED assessment & Restriction list,1
Harmonised list & CLH process & SVHC ident.,1
Harmonised list & CLH process & SVHC ident. & ED assessment,1
Pesticides & Candidate list & SVHC ident.,1
Pesticides & Candidate list & SVHC ident. & ED assessment,1
Pesticides & ED assessment,1
Pesticides & Harmonised list & CLH process & ED assessment & PBT assessment,1
Pesticides & Harmonised list & CLH process & SVHC ident.,1
Pesticides & Harmonised list & Candidate list & SVHC ident. & Authorisation list,1
Pesticides & Harmonised list & Restriction list,1
Pesticides & PBT assessment & POPs list,1
